hd_name,hd_category,hd_isactive,hd_description
Laptop,Hardware,Yes,"Laptop hardware issues including broken screens, battery problems, docking stations, and replacements"
Desktop,Hardware,Yes,"Desktop workstation issues including tower units, all-in-one PCs, and related peripherals"
Printer,Hardware,Yes,"Printer and scanner issues including paper jams, toner replacement, driver problems, and network printing"
Monitor,Hardware,Yes,"Monitor and display issues including flickering, dead pixels, cable adapters, and multi-monitor setup"
Phone,Hardware,Yes,"Desk phone and conference room phone issues including VoIP handsets and headsets"
Installation,Software,Yes,"Requests to install new software or applications on a company-managed device"
Crash / Bug,Software,Yes,"Application crashes, unexpected errors, performance issues, and software bugs requiring investigation"
License,Software,Yes,"Software license requests, renewals, true-ups, and compliance inquiries"
Update / Patch,Software,Yes,"Requests for software updates, security patches, or version upgrades"
VPN,Network & Connectivity,Yes,"VPN connection failures, split-tunneling issues, and remote access configuration"
Wi-Fi,Network & Connectivity,Yes,"Wireless connectivity issues in office locations including guest network access"
Internet,Network & Connectivity,Yes,"General internet connectivity problems, DNS issues, and bandwidth concerns"
Password Reset,Access & Permissions,Yes,"Reset a forgotten or expired Active Directory, Entra ID, or application-specific password"
Account Unlock,Access & Permissions,Yes,"Unlock a user account that has been locked due to too many failed login attempts"
Permission Request,Access & Permissions,Yes,"Request access to a shared drive, SharePoint site, application role, or security group"
Outlook,Email & Communication,Yes,"Issues with Microsoft Outlook including sync errors, calendar problems, and profile configuration"
Teams,Email & Communication,Yes,"Microsoft Teams issues including call quality, meeting problems, chat sync, and channel management"
Distribution List,Email & Communication,Yes,"Requests to create, modify, or delete email distribution lists and shared mailboxes"
